ID,nums
830,2
831,2
833,1
834,1
835,4
836,2
837,5
838,2
839,23
840,6
842,1
843,2
845,4
846,3
849,1
852,1
854,2
857,2
859,6
860,5
861,1
863,2
864,4
865,4
866,4
871,6
872,27
874,1
875,2
876,28
877,11
878,2
879,1
882,18
883,2
885,6
888,1
889,5
890,7
891,6
892,2
893,2
896,8
897,9
900,3
901,1
903,14
904,3
907,5
909,1
910,17
911,12
913,3
914,2
920,1
925,1
928,1
930,1
931,1
932,4
959,8
960,4
970,9
972,1
973,4
974,2
977,3
988,2
992,1
997,3
999,2
1002,5
1003,2
1009,1
1011,7
1012,1
1013,8
1015,4
1016,2
1017,1
1018,1
1020,1
1022,10
1023,2
1024,2
1025,2
1026,1
1031,1
1033,2
1037,5
1039,2
1042,2
1043,1
1044,5
1046,3
1048,4
1051,28
1056,7
1057,5
1058,36
1059,3
1060,7
1063,4
1071,1
1075,1
1077,1
1079,1
1081,5
1082,1
1085,1
1089,7
1092,5
1093,15
1097,1
1099,8
1102,1
1105,1
1113,2
1117,2
1122,2
1123,3
1128,5
1132,1
1137,2
1141,12
1142,3
1147,1
1148,13
1152,1
1153,3
1156,1
1157,2
1159,4
1161,1
1167,1
1168,1
1170,1
1171,1
1179,5
1181,3
1182,4
1186,2
1189,26
1190,3
1196,2
1201,1
1204,2
1222,1
1224,6
1234,1
1238,1
1245,1
1264,2
1270,1
1276,4
1279,1
1280,2
1281,3
1282,4
1285,2
1287,12
1288,3
1290,1
1291,1
1300,1
1303,3
1306,1
1308,4
1309,7
1311,2
1312,4
1314,4
1315,1
1318,7
1327,4
1334,4
1348,1
1349,12
1351,1
1352,1
1363,1
1369,1
1385,2
1386,1
1392,2
1401,1
1426,1
1431,2
1435,1
1438,1
1440,1
1445,4
1447,9
1452,1
1455,2
1460,2
1464,1
1471,2
1472,1
1474,1
1477,1
1480,2
1483,1
1485,1
1489,2
1495,1
1496,7
1497,4
1499,1
1501,1
1508,1
1510,7
1511,1
1514,13
1517,1
1518,1
1525,1
1528,2
1555,2
1556,2
1558,7
1559,8
1566,11
1574,1
1583,6
1587,4
1589,3
1591,4
1594,2
1596,4
1598,1
1599,3
1603,2
1604,3
1608,4
1611,3
1616,6
1617,1
1619,2
1620,1
1625,2
1626,4
1627,7
1628,2
1630,3
1633,3
1635,4
1636,1
1642,1
1647,1
1654,3
1655,5
1660,1
1661,1
1663,2
1668,1
1669,3
1671,20
1673,1
1674,8
1675,1
1676,3
1680,1
1681,2
1682,6
1685,1
1699,1
1701,2
1710,2
1714,4
1722,1
1724,3
1725,1
1727,4
1728,1
1729,2
1730,3
1731,4
1732,4
1738,3
1740,2
1744,1
1747,2
1753,6
1754,4
1756,2
1759,1
1766,4
1767,2
1771,7
1777,2
1778,14
1780,1
1782,2
1807,4
1816,1
1817,3
1818,2
1820,7
1829,2
1833,3
1835,1
1839,4
1856,2
1857,3
1858,1
1862,1
1864,2
1865,2
1867,2
1869,1
1874,2
1875,2
1876,1
1882,2
1884,6
1886,2
1889,2
1891,8
1892,5
1893,5
1894,7
1895,1
1897,22
1898,16
1899,2
1900,2
1903,2
1904,4
1905,1
1907,5
1908,31
1917,4
1918,5
1919,2
1920,1
1924,3
1927,2
1928,6
1929,2
1931,3
1932,2
1935,3
1936,34
1937,10
1938,8
1939,12
1940,14
1941,24
1942,4
1950,3
1953,1
1957,1
1960,2
1964,8
1965,3
1966,5
1967,1
1972,8
1975,4
1977,2
1978,4
1980,1
1982,9
1983,1
1984,1
1990,1
1994,2
1996,3
2005,1
2007,2
2008,6
2009,1
2010,5
2011,2
2012,57
2013,20
2015,43
2017,1
2022,4
2024,1
2030,2
2031,2
2033,4
2044,2
2045,1
2046,7
2052,3
2058,1
2061,1
2066,1
2070,5
2071,3
2072,8
2073,1
2075,3
2076,15
2078,2
2079,4
2080,6
2083,4
2084,1
2085,2
2088,3
2089,5
2091,6
2092,5
2093,3
2094,2
2095,1
2096,1
2098,1
2102,9
2110,1
2112,2
2113,1
2115,3
2118,5
2120,2
2122,2
2125,1
2129,4
2135,1
2138,1
2142,3
2151,1
2152,3
2161,2
2170,1
2173,1
2175,7
2177,2
2179,2
2181,1
2185,1
2188,1
2191,3
2192,5
2205,1
2210,2
2221,2
2224,1
2226,2
2239,4
2242,4
2246,1
2249,2
2250,8
2251,4
2252,1
2256,2
2269,17
2274,1
2279,1
2282,2
2288,7
2290,7
2291,1
2292,4
2293,7
2296,4
2298,3
2302,1
2305,2
2308,2
2310,1
2325,7
2328,1
2338,1
2342,2
